city,pm25,pm10,no2,so2,co,o3,aqi,Date,aqi_outlier,AQI_Category,temperature_2m_max,temperature_2m_min,windspeed_10m_max,precipitation_sum
Kolkata,11.41266932750682,49.28636282675502,36.378823632401215,7.087568265160554,0.7566143345094208,33.297699137610735,27,2020-01-01,False,Good,23.7,10.8,10.4,1.7
Kolkata,67.23651629367747,131.22385883801988,8.95768554767431,6.7444983147971,1.2202075711926568,37.6351837278053,77,2020-01-02,False,Satisfactory,24.6,13.1,12.4,1.6
Kolkata,5.0,58.4236029314915,38.87870751398869,12.740673991789606,0.8172160108715766,69.09372552079306,30,2020-01-03,False,Good,20.6,14.7,16.7,6.1
Kolkata,51.87752815967176,100.001411982487,33.50968086488731,15.381813164588586,1.0332629173345886,55.58605321455138,64,2020-01-04,False,Satisfactory,22.5,12.8,8.4,0.0
Kolkata,166.15210343302277,227.21819565723632,58.82498552108112,7.57313989964747,0.5905369258889738,79.705051623943,165,2020-01-05,False,Moderate,22.1,12.8,13.7,1.5
Kolkata,25.842864654180826,91.19985417023378,59.30033429550784,17.877736247961543,0.321402206210419,44.737864609111824,50,2020-01-06,False,Good,22.0,10.1,10.0,0.0
Kolkata,104.88776138293728,169.72803441143418,39.86487241405545,8.519458717429199,0.7179541463619904,40.72652508382259,111,2020-01-07,False,Moderate,22.5,9.9,10.3,0.0
Kolkata,30.291032625464915,74.3095302865146,67.73944421053329,10.605655138624565,0.3461645058850075,44.6198608544082,48,2020-01-08,False,Good,22.7,10.9,9.4,0.7
Kolkata,149.12158540039283,167.2630166602383,39.98592093921194,15.68870465361694,0.4577134594026519,52.86192044252891,134,2020-01-09,False,Moderate,20.9,15.6,8.7,10.7
Kolkata,43.4694279599631,68.95430566683109,49.34001890251499,21.11527328706479,0.683889749436065,58.71130867887611,53,2020-01-10,False,Satisfactory,20.8,11.9,18.8,0.0
Kolkata,99.34971762710666,152.8296326382819,29.66895157039763,6.933484862781652,0.5608445623299299,47.31881183337243,103,2020-01-11,False,Moderate,20.6,10.4,12.8,0.0
Kolkata,63.22838924892079,90.24652898057894,36.92259656924696,8.821472325618801,0.9670884142300036,44.13584381449361,66,2020-01-12,False,Satisfactory,21.5,10.6,10.1,0.0
Kolkata,113.75003222208076,168.34445147515922,32.55014584895797,11.1829058717851,0.7594667265730408,52.49241322537687,115,2020-01-13,False,Moderate,21.4,9.5,12.2,0.0
Kolkata,94.44077151802418,135.43535909165882,36.42211348338255,12.571778247445168,0.1,58.29499585676756,97,2020-01-14,False,Satisfactory,23.3,9.3,9.4,0.0
Kolkata,41.85123737114621,86.07003583633914,29.839557583826497,15.742470960797984,1.1074180417729207,48.31534739509824,54,2020-01-15,False,Satisfactory,24.5,10.9,9.8,0.0
Kolkata,76.02494616344154,125.24684347768869,39.76426432130913,17.00503115981226,1.7031228580158366,47.42049010620815,84,2020-01-16,False,Satisfactory,25.9,12.1,9.2,0.0
Kolkata,102.73956451511326,135.80463699040854,28.671055171840877,6.8987711788866495,1.2018384849562362,60.553648192811934,101,2020-01-17,False,Moderate,27.0,14.1,11.4,0.0
Kolkata,64.60467899349383,118.86330364522006,51.46726183051234,17.980016294526823,0.9225512652786242,51.37934837892309,78,2020-01-18,False,Satisfactory,26.5,13.6,10.7,0.0
Kolkata,132.75936827930528,160.68949077603702,11.172330892901186,18.28097607991492,0.6652277844332183,70.05461109801902,122,2020-01-19,False,Moderate,23.4,15.6,13.0,0.6
Kolkata,156.7800372579608,243.85833722770877,5.0,16.00495528369842,0.647325042433614,40.213972494199226,156,2020-01-20,False,Moderate,22.0,12.4,13.2,0.0
Kolkata,94.87953773043364,132.34637537847598,51.239036672309744,18.606648069592392,0.7393976906564251,55.38431410231781,97,2020-01-21,False,Satisfactory,23.2,10.4,10.7,0.0
